rank,coin,name,symbol,provider,timeframe,direction,count,status,close,candle_time,volume_change,market_cap,volume_24h
145,layerzero,LayerZero,ZRO-USDT,okx,1w,buy,9,fresh_9,1.134,2026-05-25,-0.7998807183353215,287182826,47484295
127,chiliz,Chiliz,CHZ-USDT,okx,1d,buy,9,fresh_9,0.03468,2026-05-28,-0.08328814978199706,361422367,89106270
8,tron,TRON,TRX-USDT,okx,1w,sell,13,extended_9_plus,0.35223,2026-05-25,-0.11766779934534666,33358898214,907070207
11,hyperliquid,Hyperliquid,HYPE-USDT,okx,1w,sell,12,extended_9_plus,61.245,2026-05-25,-0.2326744058192055,13602612140,1025789783
14,zcash,Zcash,ZEC-USDT,okx,1w,sell,10,extended_9_plus,547.65,2026-05-25,-0.22456033921223617,9105657527,675555831
115,official-trump,Official Trump,TRUMP-USDT,okx,1w,buy,11,extended_9_plus,1.894,2026-05-25,-0.6799704393111001,450329810,88418529
177,jito-governance-token,Jito,JTO-USDT,okx,1w,sell,10,extended_9_plus,0.4783,2026-05-25,-0.24306479490460453,227494681,74175864
5,ripple,XRP,XRP-USDT,okx,1d,buy,14,extended_9_plus,1.3142,2026-05-28,0.11136855105628651,81462852859,2393432479
16,cardano,Cardano,ADA-USDT,okx,1d,buy,17,extended_9_plus,0.2343,2026-05-28,0.36624613299315745,8682297190,467473413
21,bitcoin-cash,Bitcoin Cash,BCH-USDT,okx,1d,buy,20,extended_9_plus,300.0,2026-05-28,2.668724466991014,6005032421,372128760
27,litecoin,Litecoin,LTC-USDT,okx,1d,buy,17,extended_9_plus,51.72,2026-05-28,0.034011528133942814,3992056568,289913496
33,near,NEAR Protocol,NEAR-USDT,okx,1d,sell,11,extended_9_plus,2.424,2026-05-28,0.21314765481252307,3140051063,676737525
62,aave,Aave,AAVE-USDT,okx,1d,buy,15,extended_9_plus,80.6,2026-05-28,-0.025846639404653815,1227466446,304024399
97,injective-protocol,Injective,INJ-USDT,okx,1d,sell,10,extended_9_plus,5.44,2026-05-28,-0.48616620059903926,546071895,141754691
159,conflux-token,Conflux,CFX-USDT,okx,1d,buy,12,extended_9_plus,0.05157,2026-05-28,-0.3811047775981272,268191035,8013659
23,the-open-network,Toncoin,TON-USDT,okx,1w,sell,8,near_8,1.761,2026-05-25,-0.06734366558960692,4758678323,279907861
31,sui,Sui,SUI-USDT,okx,1w,sell,7,near_7,0.9256,2026-05-25,-0.49829025954442585,3708487400,668801981
33,near,NEAR Protocol,NEAR-USDT,okx,1w,sell,7,near_7,2.424,2026-05-25,1.0643213911084035,3140051063,676737525
48,ondo-finance,Ondo,ONDO-USDT,okx,1w,sell,7,near_7,0.368,2026-05-25,0.12131549942307562,1797396936,264922248
55,internet-computer,Internet Computer,ICP-USDT,okx,1w,sell,7,near_7,2.71,2026-05-25,0.37024345899416833,1498617220,111439224
84,filecoin,Filecoin,FIL-USDT,okx,1w,sell,7,near_7,0.949,2026-05-25,-0.11633545592415973,746023265,155795744
97,injective-protocol,Injective,INJ-USDT,okx,1w,sell,7,near_7,5.44,2026-05-25,0.6228493823983423,546071895,141754691
104,dash,Dash,DASH-USDT,okx,1w,sell,8,near_8,39.97,2026-05-25,-0.5322809199861405,509275879,97348605
125,celestia,Celestia,TIA-USDT,okx,1w,sell,7,near_7,0.4113,2026-05-25,-0.02092740234840118,380282600,48083347
32,shiba-inu,Shiba Inu,SHIB-USDT,okx,1d,buy,7,near_7,5.359e-06,2026-05-28,0.305366669376097,3158412831,168582947
81,ethena,Ethena,ENA-USDT,okx,1d,buy,7,near_7,0.08777,2026-05-28,0.20318750821555054,792095858,106172267
101,fetch-ai,Artificial Superintelligence Alliance,FET-USDT,okx,1d,sell,8,near_8,0.2272,2026-05-28,0.5431262344996592,514476798,131822575
146,the-graph,The Graph,GRT-USDT,okx,1d,sell,8,near_8,0.02633,2026-05-28,0.12774772720747385,285395731,29310722
151,monad,Monad,MON-USDT,okx,1d,buy,7,near_7,0.02362,2026-05-28,-0.8868136577586646,279893479,53686020
160,apenft,AINFT,NFT-USDT,okx,1d,buy,8,near_8,2.707e-07,2026-05-28,-0.7971628049940898,267331490,10464488
