rank,coin,name,symbol,provider,timeframe,direction,count,status,close,candle_time,volume_change,market_cap,volume_24h
8,tron,TRON,TRX-USDT,okx,1w,sell,13,extended_9_plus,0.35224,2026-05-25,-0.11785201603931572,33358898214,908148098
11,hyperliquid,Hyperliquid,HYPE-USDT,okx,1w,sell,12,extended_9_plus,61.287,2026-05-25,-0.2327650439344212,13602612140,1025209483
14,zcash,Zcash,ZEC-USDT,okx,1w,sell,10,extended_9_plus,547.53,2026-05-25,-0.22462976770976995,9105657527,672206434
5,ripple,XRP,XRP-USDT,okx,1d,buy,14,extended_9_plus,1.3154,2026-05-28,0.1110308834228011,81462852859,2381496218
16,cardano,Cardano,ADA-USDT,okx,1d,buy,17,extended_9_plus,0.2345,2026-05-28,0.3662268431159017,8682297190,475581510
